product_id,category,geography,marketing_channel,return_risk_score,total_orders,total_returns,return_rate
P00038,Electronics,North America,Social Media,0.1702537384724164,1,0,0.0
P00039,Home,Europe,Paid Ads,0.151373206514718,1,0,0.0
P00040,Clothing,North America,Social Media,0.1692424133042941,1,0,0.0
P00041,Electronics,South America,Social Media,0.1861442948502825,1,0,0.0
P00042,Clothing,North America,Organic,0.1502873709866065,1,0,0.0
P00043,Electronics,North America,Organic,0.1441326615481014,1,0,0.0
P00044,Toys,Europe,Social Media,0.1634430814175444,1,0,0.0
P00045,Electronics,Asia,Social Media,0.1463706704042462,1,0,0.0
P00046,Home,Europe,Paid Ads,0.1498530589307228,1,0,0.0
P00047,Clothing,North America,Email,0.1392311479359262,1,0,0.0
P00048,Clothing,North America,Social Media,0.1641922798056209,1,0,0.0
P00049,Clothing,Asia,Organic,0.1308704026510929,1,0,0.0
P00050,Electronics,Australia,Paid Ads,0.1424875616246957,1,0,0.0
P00051,Toys,Asia,Social Media,0.1560441456432489,1,1,1.0
P00052,Home,Europe,Organic,0.1399396543284187,1,1,1.0
P00053,Toys,South America,Organic,0.144468503432473,1,0,0.0
P00054,Books,Europe,Email,0.133224240909488,1,0,0.0
P00055,Clothing,Europe,Organic,0.132350806580857,1,0,0.0
P00056,Toys,Europe,Referral,0.1585532986343146,1,0,0.0
P00057,Electronics,Europe,Social Media,0.1512435413088617,1,0,0.0
P00058,Electronics,Asia,Social Media,0.1426161907329212,1,0,0.0
P00059,Electronics,Europe,Paid Ads,0.1462828018345254,1,0,0.0
P00060,Clothing,North America,Organic,0.1579328741373599,1,0,0.0
P00061,Clothing,North America,Email,0.1354388660698053,1,1,1.0
P00062,Electronics,North America,Organic,0.148527951047151,1,0,0.0
P00063,Books,Europe,Organic,0.144952889992166,1,0,0.0
P00064,Clothing,North America,Organic,0.1575421040073215,1,0,0.0
P00065,Electronics,North America,Paid Ads,0.1601731699624648,1,0,0.0
P00066,Clothing,Europe,Email,0.1420087613095252,1,0,0.0
P00067,Electronics,Europe,Social Media,0.1679181508885317,1,0,0.0
P00068,Books,Asia,Organic,0.1229372500245347,1,0,0.0
P00069,Electronics,Europe,Email,0.1379848500488545,1,1,1.0
P00070,Toys,Asia,Organic,0.1354370686461609,1,0,0.0
P00071,Home,South America,Email,0.1428734393683449,1,1,1.0
P00072,Electronics,Asia,Social Media,0.1450830014294716,1,0,0.0
P00073,Electronics,Europe,Email,0.1313435474180202,1,0,0.0
P00074,Books,North America,Organic,0.1526349308982771,1,0,0.0
P00075,Home,Australia,Organic,0.1358654806139844,1,0,0.0
P00076,Home,North America,Email,0.1404349624772058,1,0,0.0
P00077,Home,North America,Social Media,0.1608586231767707,1,1,1.0
P00078,Electronics,Europe,Email,0.1355138784159645,1,0,0.0
P00079,Clothing,North America,Organic,0.1446487580390197,1,0,0.0
P00080,Electronics,Australia,Email,0.1313529569406344,1,0,0.0
P00081,Books,Europe,Organic,0.1347949177431106,1,0,0.0
P00082,Home,Europe,Organic,0.1434751563052658,1,0,0.0
P00083,Clothing,Europe,Social Media,0.1588343669692058,1,0,0.0
P00084,Electronics,Europe,Organic,0.1347890008858787,1,0,0.0
P00085,Clothing,North America,Social Media,0.1598634952956096,1,1,1.0
P00086,Clothing,Europe,Organic,0.1349011923983848,1,1,1.0
P00087,Home,Asia,Social Media,0.1476923676490418,1,0,0.0
P00088,Home,Europe,Social Media,0.1632395384544432,1,0,0.0
P00089,Books,Asia,Organic,0.1309708987904088,1,0,0.0
P00090,Clothing,North America,Email,0.1435598802249083,1,0,0.0
P00091,Electronics,North America,Organic,0.1438112471895574,1,0,0.0
P00092,Home,North America,Organic,0.1554684621271054,1,0,0.0
P00093,Home,North America,Organic,0.1460528118787948,1,0,0.0
P00094,Clothing,Asia,Email,0.1264506576779708,1,0,0.0
P00095,Home,Asia,Organic,0.1294372301708715,1,0,0.0
P00096,Clothing,North America,Organic,0.1504639916500345,1,0,0.0
P00097,Clothing,Europe,Email,0.1343717819404448,1,0,0.0
P00098,Clothing,Asia,Organic,0.1319581731338875,1,0,0.0
P00099,Electronics,North America,Paid Ads,0.1550628180278544,1,0,0.0
P00100,Electronics,North America,Social Media,0.1748392755990397,1,1,1.0
P00101,Electronics,Australia,Paid Ads,0.1373299927119716,1,0,0.0
P00102,Home,Europe,Social Media,0.1509705241329672,1,0,0.0
P00103,Clothing,Australia,Email,0.1244142820371673,1,0,0.0
P00104,Clothing,North America,Social Media,0.1762768941834851,1,0,0.0
P00105,Toys,Asia,Organic,0.1297811095039932,1,0,0.0
P00106,Electronics,North America,Social Media,0.1697930191657829,1,1,1.0
P00107,Clothing,North America,Paid Ads,0.1481360022569734,1,0,0.0
P00108,Home,Europe,Paid Ads,0.1492495258873115,1,0,0.0
P00109,Electronics,North America,Organic,0.1422238771793905,1,0,0.0
P00110,Electronics,North America,Email,0.136877920127369,1,0,0.0
P00111,Electronics,North America,Paid Ads,0.1525427485477518,1,1,1.0
P00112,Electronics,North America,Paid Ads,0.1579907413482992,1,0,0.0
P00113,Toys,Asia,Email,0.1278617005470733,1,0,0.0
P00114,Books,Europe,Organic,0.1449468142789476,1,0,0.0
P00115,Home,North America,Organic,0.1391856659048455,1,0,0.0
P00116,Books,North America,Organic,0.147759818057149,1,0,0.0
P00117,Books,North America,Email,0.1402353782899421,1,1,1.0
P00118,Electronics,Europe,Email,0.1273196924773929,1,0,0.0
P00119,Books,North America,Social Media,0.1685447910649422,1,1,1.0
P00120,Clothing,Asia,Email,0.1227053445828604,1,0,0.0
P00121,Books,North America,Organic,0.1509874473144051,1,0,0.0
P00122,Books,North America,Referral,0.1618520690688819,1,1,1.0
P00123,Clothing,Asia,Referral,0.1386536040223278,1,0,0.0
P00124,Electronics,Asia,Organic,0.1352766257021423,1,0,0.0
P00125,Electronics,North America,Organic,0.1376389188171152,1,0,0.0
P00126,Clothing,Asia,Social Media,0.1479210495685915,1,0,0.0
P00127,Books,Europe,Organic,0.1312883390908334,1,0,0.0
P00128,Books,Asia,Social Media,0.1424426561964403,1,0,0.0
P00129,Electronics,Europe,Social Media,0.1656049414622647,1,0,0.0
P00130,Clothing,Europe,Organic,0.134346081209383,1,0,0.0
P00131,Clothing,Australia,Email,0.1220289377232626,1,0,0.0
P00132,Electronics,North America,Social Media,0.1862087828722305,1,0,0.0
P00133,Electronics,Europe,Paid Ads,0.1402852232156612,1,1,1.0
P00134,Clothing,Europe,Email,0.1453658662024088,1,0,0.0
P00135,Toys,North America,Social Media,0.1686968744216306,1,0,0.0
P00136,Clothing,North America,Social Media,0.165217404374189,1,0,0.0
P00137,Clothing,North America,Social Media,0.172730622197309,1,0,0.0
P00138,Home,Europe,Social Media,0.1715433589509623,1,0,0.0
P00139,Clothing,Europe,Organic,0.1350786407796522,1,1,1.0
P00140,Toys,Europe,Email,0.1335865526915508,1,1,1.0
P00141,Toys,North America,Paid Ads,0.1613249980822182,1,0,0.0
P00142,Electronics,Europe,Social Media,0.1640071238940258,1,0,0.0
P00143,Clothing,South America,Email,0.1550059886176949,1,0,0.0
P00144,Clothing,North America,Organic,0.1513408432117692,1,0,0.0
P00145,Electronics,Europe,Organic,0.1532436279879246,1,0,0.0
P00146,Electronics,Asia,Organic,0.1310488367969426,1,0,0.0
P00147,Home,Asia,Paid Ads,0.1376093735824992,1,0,0.0
P00148,Clothing,Europe,Social Media,0.1638809199805286,1,0,0.0
P00149,Electronics,Asia,Email,0.1235552776117939,1,0,0.0
P00150,Electronics,North America,Paid Ads,0.1606366299932795,1,1,1.0
P00151,Toys,Asia,Social Media,0.1507792729536501,1,1,1.0
P00152,Electronics,North America,Social Media,0.1746582966025554,1,0,0.0
P00153,Electronics,North America,Social Media,0.1757648517948657,1,0,0.0
P00154,Clothing,North America,Organic,0.1507951449187026,1,1,1.0
P00155,Toys,Asia,Social Media,0.1524489605182013,1,0,0.0
P00156,Electronics,Europe,Social Media,0.1554657379542186,1,1,1.0
P00157,Home,North America,Email,0.1390817837972653,1,1,1.0
P00158,Home,North America,Organic,0.1540896459823554,1,0,0.0
P00159,Electronics,South America,Social Media,0.1868523348466478,1,1,1.0
P00160,Home,Asia,Email,0.1152842500101533,1,0,0.0
P00161,Clothing,Europe,Organic,0.1384245596891997,1,0,0.0
P00162,Home,Europe,Paid Ads,0.148988286484633,1,0,0.0
P00163,Home,Europe,Organic,0.137223213254034,1,1,1.0
P00164,Clothing,North America,Organic,0.143108984839535,1,0,0.0
P00165,Electronics,South America,Email,0.151353485643043,1,0,0.0
P00166,Books,North America,Social Media,0.1795738427774041,1,0,0.0
P00167,Clothing,Europe,Email,0.1255848341886496,1,0,0.0
P00168,Electronics,North America,Paid Ads,0.1540187953590397,1,0,0.0
P00169,Electronics,Europe,Email,0.1385900407317555,1,0,0.0
P00170,Clothing,Europe,Paid Ads,0.1530828248693061,1,0,0.0
P00171,Home,Europe,Referral,0.1575813539522075,1,0,0.0
P00172,Electronics,North America,Social Media,0.1816425993350049,1,0,0.0
P00173,Clothing,Europe,Social Media,0.1619236178543417,1,0,0.0
P00174,Electronics,North America,Social Media,0.1783907609650563,1,1,1.0
P00175,Home,North America,Email,0.1385192437335723,1,0,0.0
P00176,Electronics,North America,Social Media,0.1695581997649459,1,1,1.0
P00177,Home,Asia,Paid Ads,0.1294742024847027,1,0,0.0
P00178,Clothing,Europe,Social Media,0.1678073397321873,1,0,0.0
P00179,Toys,Europe,Email,0.1358137353463279,1,0,0.0
P00180,Electronics,Asia,Social Media,0.1508774393437633,1,0,0.0
P00181,Clothing,Europe,Paid Ads,0.1462608708788069,1,1,1.0
P00182,Electronics,Europe,Organic,0.1456320561539571,1,0,0.0
P00183,Toys,North America,Paid Ads,0.1583665046557449,1,0,0.0
P00184,Books,North America,Referral,0.154824858929414,1,1,1.0
P00185,Electronics,Europe,Email,0.1305981252721196,1,0,0.0
P00186,Home,Europe,Social Media,0.1622456219592827,1,0,0.0
P00187,Books,Asia,Social Media,0.1521165324121361,1,0,0.0
P00188,Clothing,Asia,Social Media,0.1602275742159942,1,0,0.0
P00189,Clothing,North America,Organic,0.1500096332985947,1,0,0.0
P00190,Electronics,North America,Social Media,0.1762141392369113,1,0,0.0
P00191,Electronics,Europe,Social Media,0.151627806020424,1,1,1.0
P00192,Books,North America,Organic,0.1606666577317194,1,0,0.0
P00193,Toys,North America,Organic,0.1529098611414838,1,0,0.0
P00194,Home,Asia,Organic,0.1300715900745335,1,0,0.0
P00195,Clothing,North America,Email,0.1407372360596208,1,1,1.0
P00196,Clothing,South America,Paid Ads,0.1543738533394436,1,0,0.0
P00197,Home,Asia,Organic,0.1258511256160212,1,1,1.0
P00198,Books,Asia,Social Media,0.1601947117394337,1,0,0.0
P00199,Books,North America,Organic,0.1417976155258198,1,0,0.0
P00200,Home,North America,Referral,0.1557517771988242,1,0,0.0
P00201,Home,Europe,Social Media,0.1578020370303791,1,0,0.0
P00202,Electronics,North America,Email,0.1350214229871506,1,1,1.0
P00203,Electronics,North America,Email,0.142121687941544,1,1,1.0
P00204,Books,North America,Social Media,0.1760450881706717,1,0,0.0
P00205,Home,North America,Paid Ads,0.1515604423808234,1,0,0.0
P00206,Electronics,North America,Social Media,0.1599055220511129,1,0,0.0
P00207,Electronics,Asia,Organic,0.1316820527384572,1,0,0.0
P00208,Home,North America,Organic,0.1484311543770294,1,0,0.0
P00209,Electronics,North America,Organic,0.1547734227937023,1,0,0.0
P00210,Electronics,Europe,Social Media,0.1590767370744767,1,0,0.0
P00211,Clothing,Australia,Social Media,0.1532434801262703,1,1,1.0
P00212,Home,North America,Social Media,0.1684908536238003,1,0,0.0
P00213,Home,North America,Social Media,0.1701359221428317,1,0,0.0
P00214,Electronics,Europe,Email,0.1336571221549324,1,0,0.0
P00215,Home,South America,Paid Ads,0.1586302296246524,1,0,0.0
P00216,Electronics,Asia,Email,0.1150216030498136,1,0,0.0
P00217,Clothing,Europe,Organic,0.1384385918347652,1,0,0.0
P00218,Home,North America,Email,0.146678209832648,1,1,1.0
P00219,Home,Europe,Organic,0.1475724374314827,1,0,0.0
P00220,Books,North America,Referral,0.1582121182435148,1,0,0.0
P00221,Home,Europe,Social Media,0.171284350244761,1,0,0.0
P00222,Clothing,Asia,Paid Ads,0.135552743804302,1,0,0.0
P00223,Electronics,Australia,Organic,0.1284392308088751,1,0,0.0
P00224,Clothing,North America,Paid Ads,0.144469879215954,1,0,0.0
P00225,Electronics,North America,Organic,0.1561598118666525,1,0,0.0
P00226,Electronics,Europe,Email,0.1337684179487195,1,0,0.0
P00227,Toys,Asia,Social Media,0.1418958003531418,1,0,0.0
P00228,Clothing,Asia,Social Media,0.1375141074719237,1,0,0.0
P00229,Books,North America,Organic,0.1453733418761188,1,0,0.0
P00230,Home,North America,Referral,0.1650786643068584,1,0,0.0
P00231,Home,Europe,Organic,0.1382805948714958,1,0,0.0
P00232,Clothing,North America,Email,0.1355514133772302,1,0,0.0
P00233,Clothing,Asia,Paid Ads,0.1325899948751008,1,0,0.0
P00234,Clothing,Europe,Organic,0.1493562612925614,1,0,0.0
P00235,Electronics,Asia,Social Media,0.1402080816343591,1,0,0.0
P00236,Home,Europe,Social Media,0.1581959421029811,1,0,0.0
P00237,Electronics,Asia,Social Media,0.15631312440003,1,0,0.0
P00238,Electronics,North America,Paid Ads,0.1583118556793084,1,0,0.0
P00239,Home,Asia,Paid Ads,0.1373617335540018,1,1,1.0
P00240,Electronics,North America,Social Media,0.1647378078928741,1,0,0.0
P00241,Toys,Europe,Social Media,0.162986471314924,1,0,0.0
P00242,Toys,North America,Organic,0.1457899972421959,1,0,0.0
P00243,Toys,Europe,Paid Ads,0.1439002391012247,1,0,0.0
P00244,Clothing,North America,Organic,0.1415685908105173,1,0,0.0
P00245,Electronics,North America,Organic,0.15337546057366,1,0,0.0
P00246,Toys,Australia,Social Media,0.155531705100865,1,1,1.0
P00247,Clothing,North America,Organic,0.1500821545812929,1,0,0.0
P00248,Toys,Asia,Social Media,0.1502440029596635,1,0,0.0
P00249,Toys,Australia,Paid Ads,0.1454500195296114,1,0,0.0
P00250,Books,North America,Email,0.1398929191580066,1,0,0.0
P00251,Electronics,Europe,Paid Ads,0.1455545635489247,1,0,0.0
P00252,Clothing,North America,Email,0.1369243602198636,1,0,0.0
P00253,Books,North America,Paid Ads,0.145599396353758,1,0,0.0
P00254,Clothing,Europe,Email,0.1292803103186087,1,0,0.0
P00255,Electronics,South America,Email,0.1461374679412302,1,0,0.0
P00256,Clothing,North America,Organic,0.138481383659513,1,0,0.0
P00257,Toys,Europe,Social Media,0.1537572992985489,1,0,0.0
P00258,Home,Europe,Paid Ads,0.1554309712255167,1,0,0.0
P00259,Clothing,Asia,Organic,0.1310098628717562,1,0,0.0
P00260,Electronics,North America,Organic,0.1456730349835994,1,0,0.0
P00261,Home,Europe,Paid Ads,0.1635076577146648,1,1,1.0
P00262,Toys,Europe,Paid Ads,0.139201860737637,1,0,0.0
P00263,Electronics,Europe,Organic,0.1480220438356977,1,1,1.0
P00264,Clothing,South America,Paid Ads,0.1608544411254355,1,0,0.0
P00265,Books,Asia,Social Media,0.1529110918818264,1,0,0.0
P00266,Home,North America,Social Media,0.170274393939457,1,0,0.0
P00267,Home,Europe,Organic,0.1319660368703782,1,0,0.0
P00268,Home,North America,Email,0.1429159613999619,1,0,0.0
P00269,Clothing,North America,Email,0.1437287253354492,1,0,0.0
P00270,Electronics,Europe,Email,0.1258681712169985,1,0,0.0
P00271,Books,North America,Email,0.1533725491893389,1,0,0.0
P00272,Books,Europe,Paid Ads,0.1497971879516766,1,0,0.0
P00273,Books,Australia,Organic,0.1392586127383651,1,1,1.0
P00274,Toys,North America,Referral,0.1550773170744722,1,0,0.0
P00275,Clothing,South America,Organic,0.159185466615046,1,0,0.0
P00276,Clothing,Europe,Social Media,0.1691037991569116,1,0,0.0
P00277,Home,Europe,Social Media,0.1641293706831393,1,0,0.0
P00278,Home,Asia,Email,0.1245438254794911,1,0,0.0
P00279,Home,North America,Paid Ads,0.149783860579569,1,0,0.0
P00280,Home,Europe,Social Media,0.1609942028238,1,0,0.0
P00281,Books,Europe,Social Media,0.1580135798142991,1,0,0.0
P00282,Clothing,North America,Paid Ads,0.1584766482257396,1,0,0.0
P00283,Clothing,South America,Organic,0.1493365524605966,1,0,0.0
P00284,Electronics,Asia,Social Media,0.152180813817532,1,0,0.0
P00285,Clothing,North America,Social Media,0.1631040076607393,1,0,0.0
P00286,Electronics,North America,Paid Ads,0.1534320734585055,1,0,0.0
P00287,Clothing,Europe,Paid Ads,0.1520421500021279,1,0,0.0
P00288,Clothing,North America,Social Media,0.1640107208283789,1,0,0.0
P00289,Electronics,Europe,Email,0.1396904155874704,1,0,0.0
P00290,Clothing,North America,Paid Ads,0.1583524730464851,1,1,1.0
P00291,Electronics,Europe,Organic,0.1404798952183275,1,0,0.0
P00292,Electronics,North America,Paid Ads,0.1627216007628852,1,0,0.0
P00293,Books,North America,Organic,0.1482815909015021,1,0,0.0
P00294,Clothing,Europe,Paid Ads,0.1551405477263487,1,0,0.0
P00295,Electronics,Europe,Email,0.1465598285613971,1,0,0.0
P00296,Clothing,Australia,Social Media,0.1533631059905272,1,1,1.0
P00297,Home,Asia,Organic,0.1339732675678594,1,0,0.0
P00298,Electronics,North America,Organic,0.1445431491433253,1,0,0.0
P00299,Home,North America,Paid Ads,0.1489169322813795,1,0,0.0
P00300,Electronics,Asia,Social Media,0.1474359539234719,1,0,0.0
P00301,Electronics,South America,Paid Ads,0.1530803962740346,1,0,0.0
P00302,Clothing,Asia,Social Media,0.142605506230835,1,0,0.0
P00303,Clothing,North America,Organic,0.1518212374756808,1,0,0.0
P00304,Home,Australia,Social Media,0.1523029251027206,1,0,0.0
P00305,Home,North America,Organic,0.1532429931667551,1,0,0.0
P00306,Toys,Asia,Organic,0.1323154144774611,1,1,1.0
P00307,Clothing,South America,Email,0.1598776407785634,1,0,0.0
P00308,Clothing,North America,Social Media,0.172433814904365,1,0,0.0
P00309,Home,South America,Organic,0.1626855907225112,1,0,0.0
P00310,Electronics,North America,Paid Ads,0.1577092237473838,1,0,0.0
P00311,Clothing,Australia,Email,0.1314392161217377,1,1,1.0
P00312,Electronics,North America,Social Media,0.177335585233884,1,0,0.0
P00313,Electronics,Australia,Social Media,0.1595920752055712,1,0,0.0
P00314,Toys,North America,Paid Ads,0.1571458862844607,1,0,0.0
P00315,Books,Asia,Email,0.1248501600278899,1,0,0.0
P00316,Home,Europe,Social Media,0.1660523780288888,1,0,0.0
P00317,Clothing,Europe,Organic,0.1378199760096892,1,0,0.0
P00318,Electronics,North America,Organic,0.1440818722271816,1,0,0.0
P00319,Electronics,Asia,Social Media,0.1577055224925851,1,0,0.0
P00320,Electronics,North America,Referral,0.1748060922290477,1,0,0.0
P00321,Clothing,Europe,Organic,0.13632745446044,1,0,0.0
P00322,Home,North America,Organic,0.1446715954323078,1,0,0.0
P00323,Home,Australia,Email,0.1367687700049699,1,0,0.0
P00324,Electronics,North America,Paid Ads,0.1585693901391823,1,1,1.0
P00325,Toys,North America,Social Media,0.1746114149946448,1,1,1.0
P00326,Home,North America,Social Media,0.1757988191244297,1,0,0.0
P00327,Clothing,Europe,Social Media,0.16013680212932,1,0,0.0
P00328,Home,North America,Organic,0.1508376175477681,1,0,0.0
P00329,Clothing,Europe,Organic,0.1432887153462238,1,0,0.0
P00330,Electronics,Asia,Organic,0.1253677252786708,1,0,0.0
P00331,Clothing,Asia,Social Media,0.1502793828097544,1,0,0.0
P00332,Home,Europe,Organic,0.1499786791032195,1,0,0.0
P00333,Electronics,North America,Organic,0.1463919628747544,1,0,0.0
P00334,Electronics,Europe,Email,0.1367822855891089,1,0,0.0
P00335,Electronics,North America,Paid Ads,0.1564435561809194,1,0,0.0
P00336,Electronics,Asia,Email,0.1228023843410846,1,0,0.0
P00337,Books,North America,Organic,0.1520297808481546,1,0,0.0
P00338,Home,Europe,Social Media,0.1579467239902065,1,0,0.0
P00339,Clothing,North America,Organic,0.156559555050284,1,0,0.0
P00340,Electronics,Asia,Referral,0.1460017613795938,1,0,0.0
P00341,Clothing,North America,Referral,0.1555342512878205,1,0,0.0
P00342,Clothing,Europe,Social Media,0.173335861282011,1,0,0.0
P00343,Electronics,North America,Email,0.1430374044406245,1,0,0.0
P00344,Clothing,Asia,Social Media,0.1438966259848821,1,1,1.0
P00345,Clothing,South America,Paid Ads,0.1690642022310123,1,0,0.0
P00346,Home,Europe,Organic,0.1453930145236286,1,0,0.0
P00347,Home,Europe,Email,0.1263034458932572,1,0,0.0
P00348,Electronics,South America,Social Media,0.1727663517083056,1,1,1.0
P00349,Clothing,Europe,Paid Ads,0.1499244866786525,1,0,0.0
P00350,Home,Europe,Organic,0.1319660368703782,1,0,0.0
P00351,Clothing,Europe,Social Media,0.1622965009626616,1,0,0.0
P00352,Books,Europe,Email,0.1362058578279922,1,0,0.0
P00353,Home,North America,Social Media,0.1615094832691413,1,1,1.0
P00354,Electronics,Asia,Organic,0.1315632673877398,1,1,1.0
P00355,Electronics,Europe,Paid Ads,0.1485612749867611,1,0,0.0
P00356,Home,North America,Paid Ads,0.1479354678029929,1,0,0.0
P00357,Electronics,Asia,Email,0.1293043008580029,1,0,0.0
P00358,Clothing,North America,Paid Ads,0.1602220889120788,1,0,0.0
P00359,Toys,North America,Email,0.1409302952620363,1,0,0.0
P00360,Clothing,Europe,Social Media,0.1604152252860364,1,0,0.0
P00361,Clothing,Asia,Referral,0.1462918286350418,1,0,0.0
P00362,Home,Asia,Email,0.1235254602101377,1,0,0.0
P00363,Clothing,Australia,Email,0.1200668394888818,1,0,0.0
P00364,Clothing,Asia,Referral,0.1448334305462913,1,0,0.0
P00365,Toys,North America,Social Media,0.1643359438941931,1,0,0.0
P00366,Clothing,North America,Organic,0.1457304990906029,1,0,0.0
P00367,Toys,Asia,Paid Ads,0.1452787790966292,1,0,0.0
P00368,Toys,North America,Organic,0.1482724907850282,1,0,0.0
P00369,Electronics,Europe,Social Media,0.1620925449115784,1,0,0.0
P00370,Electronics,Europe,Email,0.1388618127706151,1,0,0.0
P00371,Electronics,North America,Social Media,0.1726688650898848,1,0,0.0
P00372,Electronics,South America,Email,0.1427823195289722,1,0,0.0
P00373,Electronics,Europe,Organic,0.1417322902574034,1,0,0.0
P00374,Home,Europe,Email,0.1364133214558466,1,0,0.0
P00375,Electronics,Australia,Email,0.1315130091184674,1,0,0.0
P00376,Clothing,Europe,Organic,0.1435115163102878,1,0,0.0
P00377,Books,North America,Organic,0.1645002261411411,1,0,0.0
P00378,Electronics,Europe,Paid Ads,0.1413730441720451,1,1,1.0
P00379,Books,Asia,Email,0.1290574395390975,1,1,1.0
P00380,Electronics,Asia,Paid Ads,0.1429835221939283,1,0,0.0
P00381,Electronics,Asia,Organic,0.1328127980443539,1,1,1.0
P00382,Home,Asia,Email,0.1211579307704968,1,1,1.0
P00383,Home,North America,Social Media,0.1813206090313801,1,0,0.0
P00384,Books,Asia,Email,0.1144978707282015,1,1,1.0
P00385,Home,Asia,Organic,0.1265972452660747,1,0,0.0
P00386,Books,North America,Social Media,0.1766332065848986,1,0,0.0
P00387,Electronics,North America,Paid Ads,0.1527469182572987,1,0,0.0
P00388,Electronics,Australia,Organic,0.1454192071128552,1,0,0.0
P00389,Home,Asia,Paid Ads,0.1278311025082604,1,1,1.0
P00390,Books,Asia,Social Media,0.1412492236935035,1,0,0.0
P00391,Toys,Asia,Email,0.1220553576076659,1,0,0.0
P00392,Clothing,Europe,Social Media,0.1645240905625835,1,0,0.0
P00393,Clothing,Europe,Social Media,0.1602607906492639,1,0,0.0
P00394,Home,Europe,Paid Ads,0.1458216975829673,1,1,1.0
P00395,Clothing,North America,Social Media,0.1787921613968099,1,1,1.0
P00396,Toys,Asia,Email,0.1332111918982356,1,0,0.0
P00397,Books,Europe,Social Media,0.1586511787475918,1,0,0.0
P00398,Clothing,Europe,Email,0.1260712057925263,1,0,0.0
P00399,Home,Europe,Paid Ads,0.1380056510741708,1,0,0.0
P00400,Home,Europe,Organic,0.1438442362513673,1,0,0.0
P00401,Electronics,North America,Organic,0.1525624435802238,1,0,0.0
P00402,Toys,North America,Email,0.1430371944378009,1,0,0.0
P00403,Clothing,North America,Paid Ads,0.1543180735827072,1,0,0.0
P00404,Books,North America,Organic,0.1429012189173127,1,0,0.0
P00405,Clothing,Australia,Email,0.1333741244674304,1,1,1.0
P00406,Books,North America,Email,0.1516882483968722,1,0,0.0
P00407,Clothing,North America,Paid Ads,0.1435778702714707,1,1,1.0
P00408,Electronics,Europe,Organic,0.1416285622569101,1,0,0.0
P00409,Toys,Europe,Organic,0.1369992382687829,1,0,0.0
P00410,Electronics,North America,Email,0.1333572280999926,1,0,0.0
P00411,Clothing,Asia,Social Media,0.1414561748550284,1,0,0.0
P00412,Toys,Asia,Organic,0.1327674393063409,1,0,0.0
P00413,Toys,North America,Organic,0.1516404548208945,1,0,0.0
P00414,Clothing,North America,Organic,0.1573873164062635,1,0,0.0
P00415,Home,South America,Organic,0.1554383269871333,1,0,0.0
P00416,Clothing,Asia,Social Media,0.1377573200263545,1,1,1.0
P00417,Electronics,Europe,Organic,0.1406741550443664,1,0,0.0
P00418,Clothing,North America,Paid Ads,0.14608905520188,1,0,0.0
